Local time,Open,High,Low,Close,Volume
09.07.2020 17:00:00.000 GMT-0400,9182,9200,9070,9175,229.99
10.07.2020 17:00:00.000 GMT-0400,9175,9175,9175,9175,0
11.07.2020 17:00:00.000 GMT-0400,9205,9207,9191,9192,0.04
12.07.2020 17:00:00.000 GMT-0400,9176,9287,9145,9193,3.05
13.07.2020 17:00:00.000 GMT-0400,9187,9223,9070,9217,1.11
14.07.2020 17:00:00.000 GMT-0400,9217,9221,9101,9157,0.67
15.07.2020 17:00:00.000 GMT-0400,9154,9173,8977,9047,0.92
16.07.2020 17:00:00.000 GMT-0400,9046,9126,9023,9109,0.58
17.07.2020 17:00:00.000 GMT-0400,9109,9109,9109,9109,0
18.07.2020 17:00:00.000 GMT-0400,9072,9082,9058,9075,0.05
19.07.2020 17:00:00.000 GMT-0400,9117,9180,9082,9120,0.65
20.07.2020 17:00:00.000 GMT-0400,9118,9381,9098,9323,0.89
21.07.2020 17:00:00.000 GMT-0400,9319,9344,9230,9322,0.5
22.07.2020 17:00:00.000 GMT-0400,9319,9622,9313,9534,0.71
23.07.2020 17:00:00.000 GMT-0400,9535,9566,9421,9537,0.42
24.07.2020 17:00:00.000 GMT-0400,9537,9537,9537,9537,0
25.07.2020 17:00:00.000 GMT-0400,9958,9959,9902,9921,0.09
26.07.2020 17:00:00.000 GMT-0400,9826,10895,9819,10827,1.96
27.07.2020 17:00:00.000 GMT-0400,10825,11351,10534,10920,2.29
28.07.2020 17:00:00.000 GMT-0400,10933,11240,10795,11162,1.48
29.07.2020 17:00:00.000 GMT-0400,11163,11294,10797,11092,1.41
30.07.2020 17:00:00.000 GMT-0400,11098,11398,10922,11271,0.85
31.07.2020 17:00:00.000 GMT-0400,11569,11797,11514,11779,0.34
01.08.2020 17:00:00.000 GMT-0400,11196,11214,10907,11050,0.23
02.08.2020 17:00:00.000 GMT-0400,11034,11424,10908,11315,1.04
03.08.2020 17:00:00.000 GMT-0400,11335,11365,10986,11155,0.62
04.08.2020 17:00:00.000 GMT-0400,11159,11669,11045,11628,0.56
05.08.2020 17:00:00.000 GMT-0400,11641,11857,11498,11794,0.73
06.08.2020 17:00:00.000 GMT-0400,11806,11860,11294,11452,0.68
07.08.2020 17:00:00.000 GMT-0400,11452,11452,11452,11452,0
08.08.2020 17:00:00.000 GMT-0400,11452,11452,11452,11452,0
09.08.2020 17:00:00.000 GMT-0400,11618,12026,11463,11803,1.27
10.08.2020 17:00:00.000 GMT-0400,11802,11885,11080,11154,2.06
11.08.2020 17:00:00.000 GMT-0400,11138,11568,11072,11508,1.35
12.08.2020 17:00:00.000 GMT-0400,11507,11606,11223,11553,1.45
13.08.2020 17:00:00.000 GMT-0400,11591,11805,11569,11760,2.12
14.08.2020 17:00:00.000 GMT-0400,11760,11760,11760,11760,0
15.08.2020 17:00:00.000 GMT-0400,11760,11760,11760,11760,0
16.08.2020 17:00:00.000 GMT-0400,11793,12420,11719,12271,2.25
