Local time,Open,High,Low,Close,Volume
01.07.2020 17:00:00.000 GMT-0400,230,231,222,225,87.85
02.07.2020 17:00:00.000 GMT-0400,225,227,224,225,60.64
03.07.2020 17:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 17:00:00.000 GMT-0400,224,224,223,224,0.32
05.07.2020 17:00:00.000 GMT-0400,223,239,222,237,47.87
06.07.2020 17:00:00.000 GMT-0400,237,242,233,237,41.45
07.07.2020 17:00:00.000 GMT-0400,237,247,236,245,52.42
08.07.2020 17:00:00.000 GMT-0400,245,247,236,240,43.61
09.07.2020 17:00:00.000 GMT-0400,240,241,234,238,28.83
10.07.2020 17:00:00.000 GMT-0400,238,238,238,238,0
11.07.2020 17:00:00.000 GMT-0400,239,239,238,238,0.39
12.07.2020 17:00:00.000 GMT-0400,237,244,236,237,9.64
13.07.2020 17:00:00.000 GMT-0400,237,240,235,240,7.3
14.07.2020 17:00:00.000 GMT-0400,240,240,235,237,6.26
15.07.2020 17:00:00.000 GMT-0400,236,238,228,231,7.98
16.07.2020 17:00:00.000 GMT-0400,231,233,230,232,5.34
17.07.2020 17:00:00.000 GMT-0400,232,232,232,232,0
18.07.2020 17:00:00.000 GMT-0400,232,233,232,232,0.24
19.07.2020 17:00:00.000 GMT-0400,234,238,233,235,7.64
20.07.2020 17:00:00.000 GMT-0400,235,245,234,244,8.37
21.07.2020 17:00:00.000 GMT-0400,243,245,240,244,6.89
22.07.2020 17:00:00.000 GMT-0400,244,279,244,272,19.43
23.07.2020 17:00:00.000 GMT-0400,272,283,267,282,17.13
24.07.2020 17:00:00.000 GMT-0400,282,282,282,282,0
25.07.2020 17:00:00.000 GMT-0400,309,309,306,308,1.11
26.07.2020 17:00:00.000 GMT-0400,308,328,308,323,37.47
27.07.2020 17:00:00.000 GMT-0400,322,332,305,318,44.08
28.07.2020 17:00:00.000 GMT-0400,318,324,311,321,27.6
29.07.2020 17:00:00.000 GMT-0400,321,341,313,337,23.19
30.07.2020 17:00:00.000 GMT-0400,337,347,328,342,30.23
31.07.2020 17:00:00.000 GMT-0400,354,386,352,385,11.83
01.08.2020 17:00:00.000 GMT-0400,371,372,353,360,9.03
02.08.2020 17:00:00.000 GMT-0400,372,397,365,389,38.32
03.08.2020 17:00:00.000 GMT-0400,389,402,379,387,34.71
04.08.2020 17:00:00.000 GMT-0400,387,401,383,399,26.25
05.08.2020 17:00:00.000 GMT-0400,399,406,391,395,25.98
06.08.2020 17:00:00.000 GMT-0400,396,397,363,373,28.93
07.08.2020 17:00:00.000 GMT-0400,373,373,373,373,0
08.08.2020 17:00:00.000 GMT-0400,373,373,373,373,0
