Local time,Open,High,Low,Close,Volume
02.07.2020 00:00:00.000 GMT-0400,230,230,229,230,1.86
02.07.2020 01:00:00.000 GMT-0400,230,230,227,227,4.75
02.07.2020 02:00:00.000 GMT-0400,227,228,226,227,6.04
02.07.2020 03:00:00.000 GMT-0400,227,228,227,227,2.13
02.07.2020 04:00:00.000 GMT-0400,227,228,226,227,1.45
02.07.2020 05:00:00.000 GMT-0400,227,228,227,227,1.74
02.07.2020 06:00:00.000 GMT-0400,227,227,226,227,2.31
02.07.2020 07:00:00.000 GMT-0400,227,227,225,227,2.53
02.07.2020 08:00:00.000 GMT-0400,227,228,226,228,3.42
02.07.2020 09:00:00.000 GMT-0400,228,230,228,229,4.43
02.07.2020 10:00:00.000 GMT-0400,229,230,227,227,4.03
02.07.2020 11:00:00.000 GMT-0400,227,227,223,224,9.59
02.07.2020 12:00:00.000 GMT-0400,224,225,222,224,10.68
02.07.2020 13:00:00.000 GMT-0400,224,225,224,224,4.02
02.07.2020 14:00:00.000 GMT-0400,224,225,223,225,4
02.07.2020 15:00:00.000 GMT-0400,225,225,223,224,3.02
02.07.2020 16:00:00.000 GMT-0400,224,225,224,225,2.51
02.07.2020 17:00:00.000 GMT-0400,225,227,224,226,2.92
02.07.2020 18:00:00.000 GMT-0400,226,227,225,226,4.99
02.07.2020 19:00:00.000 GMT-0400,225,226,225,225,2.68
02.07.2020 20:00:00.000 GMT-0400,225,225,224,225,2.61
02.07.2020 21:00:00.000 GMT-0400,225,227,224,226,2.46
02.07.2020 22:00:00.000 GMT-0400,226,226,225,225,2.18
02.07.2020 23:00:00.000 GMT-0400,225,226,224,225,1.89
03.07.2020 00:00:00.000 GMT-0400,225,225,224,225,1.24
03.07.2020 01:00:00.000 GMT-0400,225,226,225,226,3.19
03.07.2020 02:00:00.000 GMT-0400,226,226,225,225,2.09
03.07.2020 03:00:00.000 GMT-0400,225,226,225,226,3.21
03.07.2020 04:00:00.000 GMT-0400,226,227,225,226,3.08
03.07.2020 05:00:00.000 GMT-0400,226,226,224,225,3.98
03.07.2020 06:00:00.000 GMT-0400,225,225,224,225,2.92
03.07.2020 07:00:00.000 GMT-0400,225,226,225,226,1.5
03.07.2020 08:00:00.000 GMT-0400,226,226,225,226,2.66
03.07.2020 09:00:00.000 GMT-0400,226,227,226,226,4.92
03.07.2020 10:00:00.000 GMT-0400,226,226,225,225,3.53
03.07.2020 11:00:00.000 GMT-0400,225,226,225,225,3.05
03.07.2020 12:00:00.000 GMT-0400,226,226,225,225,2.34
03.07.2020 13:00:00.000 GMT-0400,225,226,225,225,1.07
03.07.2020 14:00:00.000 GMT-0400,225,225,225,225,1.26
03.07.2020 15:00:00.000 GMT-0400,225,225,224,225,0.86
03.07.2020 16:00:00.000 GMT-0400,225,225,225,225,0
03.07.2020 17:00:00.000 GMT-0400,225,225,225,225,0
03.07.2020 18:00:00.000 GMT-0400,225,225,225,225,0
03.07.2020 19:00:00.000 GMT-0400,225,225,225,225,0
03.07.2020 20:00:00.000 GMT-0400,225,225,225,225,0
03.07.2020 21:00:00.000 GMT-0400,225,225,225,225,0
03.07.2020 22:00:00.000 GMT-0400,225,225,225,225,0
03.07.2020 23:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 00:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 01:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 02:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 03:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 04:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 05:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 06:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 07:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 08:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 09:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 10:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 11:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 12:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 13:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 14:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 15:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 16:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 17:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 18:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 19:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 20:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 21:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 22:00:00.000 GMT-0400,225,225,225,225,0
04.07.2020 23:00:00.000 GMT-0400,225,225,225,225,0
05.07.2020 00:00:00.000 GMT-0400,225,225,225,225,0
05.07.2020 01:00:00.000 GMT-0400,225,225,225,225,0
05.07.2020 02:00:00.000 GMT-0400,225,225,225,225,0
05.07.2020 03:00:00.000 GMT-0400,225,225,225,225,0
05.07.2020 04:00:00.000 GMT-0400,225,225,225,225,0
05.07.2020 05:00:00.000 GMT-0400,225,225,225,225,0
05.07.2020 06:00:00.000 GMT-0400,225,225,225,225,0
05.07.2020 07:00:00.000 GMT-0400,224,224,223,224,0.32
05.07.2020 08:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 09:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 10:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 11:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 12:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 13:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 14:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 15:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 16:00:00.000 GMT-0400,224,224,224,224,0
05.07.2020 17:00:00.000 GMT-0400,223,225,222,225,0.69
05.07.2020 18:00:00.000 GMT-0400,225,227,225,226,4.45
05.07.2020 19:00:00.000 GMT-0400,226,227,226,226,1.69
05.07.2020 20:00:00.000 GMT-0400,226,227,226,226,2.01
05.07.2020 21:00:00.000 GMT-0400,226,227,226,227,1.07
05.07.2020 22:00:00.000 GMT-0400,227,227,226,227,1.79
05.07.2020 23:00:00.000 GMT-0400,227,227,226,226,0.55
06.07.2020 00:00:00.000 GMT-0400,226,227,226,226,0.73
06.07.2020 01:00:00.000 GMT-0400,227,227,226,227,0.98
06.07.2020 02:00:00.000 GMT-0400,228,232,227,231,3.8
06.07.2020 03:00:00.000 GMT-0400,231,233,231,231,2.75
06.07.2020 04:00:00.000 GMT-0400,231,232,231,232,1.17
06.07.2020 05:00:00.000 GMT-0400,232,232,231,232,1.6
06.07.2020 06:00:00.000 GMT-0400,233,233,231,232,1.82
06.07.2020 07:00:00.000 GMT-0400,232,234,232,234,1.83
06.07.2020 08:00:00.000 GMT-0400,234,236,233,236,2.85
06.07.2020 09:00:00.000 GMT-0400,236,236,235,235,3.43
06.07.2020 10:00:00.000 GMT-0400,236,236,234,234,2
06.07.2020 11:00:00.000 GMT-0400,235,237,234,237,3.42
06.07.2020 12:00:00.000 GMT-0400,237,239,237,238,3.93
06.07.2020 13:00:00.000 GMT-0400,238,238,237,238,1.91
06.07.2020 14:00:00.000 GMT-0400,238,238,237,237,0.86
06.07.2020 15:00:00.000 GMT-0400,237,237,236,237,0.96
06.07.2020 16:00:00.000 GMT-0400,237,237,236,237,1.58
06.07.2020 17:00:00.000 GMT-0400,237,238,237,237,2.33
06.07.2020 18:00:00.000 GMT-0400,237,238,237,238,2.26
06.07.2020 19:00:00.000 GMT-0400,238,240,238,240,2.89
06.07.2020 20:00:00.000 GMT-0400,240,242,240,240,2.56
06.07.2020 21:00:00.000 GMT-0400,240,240,238,238,1.99
06.07.2020 22:00:00.000 GMT-0400,238,238,237,238,2.19
06.07.2020 23:00:00.000 GMT-0400,238,239,238,238,1.21
07.07.2020 00:00:00.000 GMT-0400,238,238,237,237,1.46
07.07.2020 01:00:00.000 GMT-0400,237,238,237,237,1.8
07.07.2020 02:00:00.000 GMT-0400,237,237,235,236,1.89
07.07.2020 03:00:00.000 GMT-0400,236,236,234,236,1.23
