Local time,Open,High,Low,Close,Volume
06.07.2023 00:00:00.000 GMT-0400,1911,1914,1911,1912,0.05
06.07.2023 00:30:00.000 GMT-0400,1912,1913,1908,1909,0.04
06.07.2023 01:00:00.000 GMT-0400,1909,1911,1907,1911,0.07
06.07.2023 01:30:00.000 GMT-0400,1911,1922,1911,1919,0.23
06.07.2023 02:00:00.000 GMT-0400,1920,1922,1917,1920,0.13
06.07.2023 02:30:00.000 GMT-0400,1920,1925,1919,1921,0.14
06.07.2023 03:00:00.000 GMT-0400,1921,1924,1921,1924,0.07
06.07.2023 03:30:00.000 GMT-0400,1924,1928,1922,1923,0.13
06.07.2023 04:00:00.000 GMT-0400,1923,1927,1923,1924,0.05
06.07.2023 04:30:00.000 GMT-0400,1924,1948,1923,1947,0.55
06.07.2023 05:00:00.000 GMT-0400,1947,1955,1944,1948,0.5
06.07.2023 05:30:00.000 GMT-0400,1949,1951,1936,1939,0.34
06.07.2023 06:00:00.000 GMT-0400,1939,1942,1936,1937,0.11
06.07.2023 06:30:00.000 GMT-0400,1937,1943,1935,1942,0.1
06.07.2023 07:00:00.000 GMT-0400,1942,1943,1937,1937,0.05
06.07.2023 07:30:00.000 GMT-0400,1937,1939,1910,1915,0.37
06.07.2023 08:00:00.000 GMT-0400,1915,1917,1902,1904,0.66
06.07.2023 08:30:00.000 GMT-0400,1904,1904,1889,1899,0.48
06.07.2023 09:00:00.000 GMT-0400,1899,1905,1899,1902,0.08
06.07.2023 09:30:00.000 GMT-0400,1902,1903,1886,1890,0.31
06.07.2023 10:00:00.000 GMT-0400,1890,1895,1867,1869,2.07
06.07.2023 10:30:00.000 GMT-0400,1869,1879,1864,1878,1.93
06.07.2023 11:00:00.000 GMT-0400,1878,1882,1872,1881,1.32
06.07.2023 11:30:00.000 GMT-0400,1880,1890,1879,1887,1.37
06.07.2023 12:00:00.000 GMT-0400,1887,1888,1881,1882,0.88
06.07.2023 12:30:00.000 GMT-0400,1882,1885,1876,1884,0.82
06.07.2023 13:00:00.000 GMT-0400,1884,1887,1882,1882,0.6
06.07.2023 13:30:00.000 GMT-0400,1882,1885,1881,1885,0.54
06.07.2023 14:00:00.000 GMT-0400,1885,1889,1883,1885,0.73
06.07.2023 14:30:00.000 GMT-0400,1885,1892,1882,1891,0.62
06.07.2023 15:00:00.000 GMT-0400,1891,1891,1885,1888,0.65
06.07.2023 15:30:00.000 GMT-0400,1888,1888,1882,1883,0.62
06.07.2023 16:00:00.000 GMT-0400,1883,1885,1877,1880,0.47
06.07.2023 16:30:00.000 GMT-0400,1880,1881,1878,1881,0.48
06.07.2023 17:00:00.000 GMT-0400,1881,1884,1874,1876,0.78
06.07.2023 17:30:00.000 GMT-0400,1876,1878,1870,1873,0.56
06.07.2023 18:00:00.000 GMT-0400,1873,1873,1868,1872,0.1
06.07.2023 18:30:00.000 GMT-0400,1872,1872,1862,1866,0.54
06.07.2023 19:00:00.000 GMT-0400,1865,1866,1850,1857,1.35
06.07.2023 19:30:00.000 GMT-0400,1857,1857,1844,1844,1.17
06.07.2023 20:00:00.000 GMT-0400,1844,1847,1824,1839,1.57
06.07.2023 20:30:00.000 GMT-0400,1839,1846,1833,1843,0.89
06.07.2023 21:00:00.000 GMT-0400,1843,1846,1841,1844,0.49
06.07.2023 21:30:00.000 GMT-0400,1844,1851,1844,1850,0.9
06.07.2023 22:00:00.000 GMT-0400,1850,1850,1848,1849,0.53
06.07.2023 22:30:00.000 GMT-0400,1849,1853,1849,1851,0.55
06.07.2023 23:00:00.000 GMT-0400,1851,1857,1851,1854,0.41
06.07.2023 23:30:00.000 GMT-0400,1854,1857,1853,1856,0.49
07.07.2023 00:00:00.000 GMT-0400,1856,1857,1851,1852,0.48
07.07.2023 00:30:00.000 GMT-0400,1851,1853,1851,1852,0.29
07.07.2023 01:00:00.000 GMT-0400,1852,1860,1849,1857,0.5
07.07.2023 01:30:00.000 GMT-0400,1857,1861,1855,1856,0.67
07.07.2023 02:00:00.000 GMT-0400,1856,1857,1852,1853,0.34
07.07.2023 02:30:00.000 GMT-0400,1853,1855,1852,1853,0.46
07.07.2023 03:00:00.000 GMT-0400,1853,1855,1852,1853,0.34
07.07.2023 03:30:00.000 GMT-0400,1853,1856,1851,1854,0.65
07.07.2023 04:00:00.000 GMT-0400,1854,1859,1852,1855,0.58
07.07.2023 04:30:00.000 GMT-0400,1855,1858,1854,1854,0.23
07.07.2023 05:00:00.000 GMT-0400,1854,1859,1854,1859,0.36
