Local time,Open,High,Low,Close,Volume
09.07.2020 17:00:00.000 GMT-0400,1.12845,1.13247,1.12547,1.12990,180567.15
10.07.2020 17:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 17:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 17:00:00.000 GMT-0400,1.13039,1.13748,1.13008,1.13435,240740.04
13.07.2020 17:00:00.000 GMT-0400,1.13431,1.14086,1.13251,1.13993,356993.28
14.07.2020 17:00:00.000 GMT-0400,1.13990,1.14520,1.13910,1.14113,308569.03
15.07.2020 17:00:00.000 GMT-0400,1.14113,1.14417,1.13704,1.13834,286760.48
16.07.2020 17:00:00.000 GMT-0400,1.13832,1.14436,1.13756,1.14269,180941.23
17.07.2020 17:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 17:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 17:00:00.000 GMT-0400,1.14084,1.14677,1.14023,1.14472,287644.34
20.07.2020 17:00:00.000 GMT-0400,1.14472,1.15398,1.14228,1.15265,381991.79
21.07.2020 17:00:00.000 GMT-0400,1.15268,1.16013,1.15068,1.15695,469647.15
22.07.2020 17:00:00.000 GMT-0400,1.15693,1.16268,1.15403,1.15959,357670.27
23.07.2020 17:00:00.000 GMT-0400,1.15959,1.16580,1.15812,1.16546,414395.36
24.07.2020 17:00:00.000 GMT-0400,1.16546,1.16546,1.16546,1.16546,0
25.07.2020 17:00:00.000 GMT-0400,1.16546,1.16546,1.16546,1.16546,0
26.07.2020 17:00:00.000 GMT-0400,1.16430,1.17813,1.16413,1.17510,340905.6
27.07.2020 17:00:00.000 GMT-0400,1.17512,1.17736,1.16987,1.17150,345127.9
28.07.2020 17:00:00.000 GMT-0400,1.17148,1.18061,1.17118,1.17907,338594.79
29.07.2020 17:00:00.000 GMT-0400,1.17910,1.18482,1.17308,1.18467,336437.81
30.07.2020 17:00:00.000 GMT-0400,1.18465,1.19087,1.17617,1.17753,580493.21
31.07.2020 17:00:00.000 GMT-0400,1.17753,1.17753,1.17753,1.17753,0
01.08.2020 17:00:00.000 GMT-0400,1.17753,1.17753,1.17753,1.17753,0
02.08.2020 17:00:00.000 GMT-0400,1.17725,1.17966,1.16959,1.17617,314524.66
03.08.2020 17:00:00.000 GMT-0400,1.17633,1.18059,1.17211,1.18028,430308.77
04.08.2020 17:00:00.000 GMT-0400,1.18026,1.19048,1.17929,1.18629,1048544.36
05.08.2020 17:00:00.000 GMT-0400,1.18627,1.19160,1.18179,1.18763,1292643.14
06.08.2020 17:00:00.000 GMT-0400,1.18763,1.18828,1.17551,1.17862,434629.11
07.08.2020 17:00:00.000 GMT-0400,1.17862,1.17862,1.17862,1.17862,0
08.08.2020 17:00:00.000 GMT-0400,1.17862,1.17862,1.17862,1.17862,0
09.08.2020 17:00:00.000 GMT-0400,1.17886,1.18006,1.17359,1.17371,301512.86
10.08.2020 17:00:00.000 GMT-0400,1.17373,1.18080,1.17219,1.17395,586722.88
11.08.2020 17:00:00.000 GMT-0400,1.17395,1.18170,1.17110,1.17835,626910.66
