Local time,Open,High,Low,Close,Volume
14.07.2023 00:00:00.000 GMT-0400,1.12413,1.12413,1.12327,1.12334,5253.92
14.07.2023 00:30:00.000 GMT-0400,1.12333,1.12376,1.12326,1.12330,6686.84
14.07.2023 01:00:00.000 GMT-0400,1.12329,1.12351,1.12304,1.12332,5391
14.07.2023 01:30:00.000 GMT-0400,1.12332,1.12337,1.12184,1.12192,8753.56
14.07.2023 02:00:00.000 GMT-0400,1.12195,1.12256,1.12146,1.12160,9987.15
14.07.2023 02:30:00.000 GMT-0400,1.12159,1.12189,1.12055,1.12100,10565.62
14.07.2023 03:00:00.000 GMT-0400,1.12100,1.12169,1.12041,1.12078,11002.28
14.07.2023 03:30:00.000 GMT-0400,1.12078,1.12216,1.12053,1.12214,9014.35
14.07.2023 04:00:00.000 GMT-0400,1.12213,1.12322,1.12212,1.12304,9234.06
14.07.2023 04:30:00.000 GMT-0400,1.12304,1.12357,1.12278,1.12311,7489.76
14.07.2023 05:00:00.000 GMT-0400,1.12312,1.12448,1.12309,1.12354,7033.42
14.07.2023 05:30:00.000 GMT-0400,1.12352,1.12362,1.12261,1.12267,7049.15
14.07.2023 06:00:00.000 GMT-0400,1.12266,1.12266,1.12173,1.12175,8798.73
14.07.2023 06:30:00.000 GMT-0400,1.12175,1.12229,1.12154,1.12202,6396.44
14.07.2023 07:00:00.000 GMT-0400,1.12204,1.12325,1.12193,1.12325,6420.47
14.07.2023 07:30:00.000 GMT-0400,1.12325,1.12342,1.12228,1.12242,7044.55
14.07.2023 08:00:00.000 GMT-0400,1.12243,1.12259,1.12154,1.12185,8380.96
14.07.2023 08:30:00.000 GMT-0400,1.12186,1.12269,1.12101,1.12257,11843.11
14.07.2023 09:00:00.000 GMT-0400,1.12257,1.12287,1.12175,1.12280,10280.46
14.07.2023 09:30:00.000 GMT-0400,1.12280,1.12440,1.12267,1.12396,12514.99
14.07.2023 10:00:00.000 GMT-0400,1.12395,1.12395,1.12153,1.12342,25764.34
14.07.2023 10:30:00.000 GMT-0400,1.12343,1.12442,1.12263,1.12417,15817.85
14.07.2023 11:00:00.000 GMT-0400,1.12418,1.12441,1.12363,1.12377,8175.64
