Local time,Open,High,Low,Close,Volume
09.07.2020 21:00:00.000 GMT-0400,1.12752,1.12784,1.12679,1.12710,15962.13
10.07.2020 01:00:00.000 GMT-0400,1.12710,1.12911,1.12547,1.12856,42801.65
10.07.2020 05:00:00.000 GMT-0400,1.12855,1.13005,1.12735,1.12931,38573.86
10.07.2020 09:00:00.000 GMT-0400,1.12930,1.13247,1.12930,1.12996,57507.76
10.07.2020 13:00:00.000 GMT-0400,1.12996,1.13059,1.12949,1.12990,18820.85
10.07.2020 17:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
10.07.2020 21:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 01:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 05:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 09:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 13:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 17:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
11.07.2020 21:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 01:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 05:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 09:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 13:00:00.000 GMT-0400,1.12990,1.12990,1.12990,1.12990,0
12.07.2020 17:00:00.000 GMT-0400,1.13039,1.13173,1.13026,1.13142,10946.85
12.07.2020 21:00:00.000 GMT-0400,1.13142,1.13303,1.13139,1.13223,19355.16
13.07.2020 01:00:00.000 GMT-0400,1.13223,1.13360,1.13008,1.13085,41861.07
13.07.2020 05:00:00.000 GMT-0400,1.13087,1.13383,1.13041,1.13255,75848.99
13.07.2020 09:00:00.000 GMT-0400,1.13256,1.13748,1.13252,1.13674,51456.53
13.07.2020 13:00:00.000 GMT-0400,1.13674,1.13746,1.13414,1.13435,41271.45
13.07.2020 17:00:00.000 GMT-0400,1.13431,1.13502,1.13399,1.13449,17939.66
13.07.2020 21:00:00.000 GMT-0400,1.13450,1.13485,1.13352,1.13448,21657.56
14.07.2020 01:00:00.000 GMT-0400,1.13448,1.13585,1.13251,1.13505,45624.48
14.07.2020 05:00:00.000 GMT-0400,1.13505,1.13812,1.13473,1.13717,71568.44
14.07.2020 09:00:00.000 GMT-0400,1.13717,1.14086,1.13612,1.14031,152607.7
14.07.2020 13:00:00.000 GMT-0400,1.14031,1.14054,1.13868,1.13993,47595.45
14.07.2020 17:00:00.000 GMT-0400,1.13990,1.14230,1.13936,1.14129,17627.86
14.07.2020 21:00:00.000 GMT-0400,1.14131,1.14210,1.13939,1.13950,23409.18
15.07.2020 01:00:00.000 GMT-0400,1.13951,1.14445,1.13910,1.14369,49233.55
15.07.2020 05:00:00.000 GMT-0400,1.14368,1.14476,1.14255,1.14350,76285.85
15.07.2020 09:00:00.000 GMT-0400,1.14351,1.14520,1.14014,1.14072,109523.91
15.07.2020 13:00:00.000 GMT-0400,1.14071,1.14129,1.14028,1.14113,32488.68
15.07.2020 17:00:00.000 GMT-0400,1.14113,1.14185,1.14082,1.14146,12307.6
15.07.2020 21:00:00.000 GMT-0400,1.14145,1.14166,1.14002,1.14059,24458.87
16.07.2020 01:00:00.000 GMT-0400,1.14060,1.14154,1.13856,1.13928,56589.98
16.07.2020 05:00:00.000 GMT-0400,1.13929,1.14246,1.13781,1.14108,59137.71
16.07.2020 09:00:00.000 GMT-0400,1.14105,1.14417,1.13995,1.14091,73489.04
16.07.2020 13:00:00.000 GMT-0400,1.14092,1.14101,1.13704,1.13834,60777.29
16.07.2020 17:00:00.000 GMT-0400,1.13832,1.13931,1.13756,1.13846,18404.8
16.07.2020 21:00:00.000 GMT-0400,1.13846,1.13935,1.13774,1.13872,21265.81
17.07.2020 01:00:00.000 GMT-0400,1.13872,1.14175,1.13779,1.14164,34549.46
17.07.2020 05:00:00.000 GMT-0400,1.14162,1.14302,1.14094,1.14189,39037.98
17.07.2020 09:00:00.000 GMT-0400,1.14191,1.14425,1.14161,1.14353,47881.37
17.07.2020 13:00:00.000 GMT-0400,1.14353,1.14436,1.14227,1.14269,19801.81
17.07.2020 17:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
17.07.2020 21:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 01:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 05:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 09:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 13:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 17:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
18.07.2020 21:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 01:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 05:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 09:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 13:00:00.000 GMT-0400,1.14269,1.14269,1.14269,1.14269,0
19.07.2020 17:00:00.000 GMT-0400,1.14084,1.14456,1.14084,1.14224,13185.7
19.07.2020 21:00:00.000 GMT-0400,1.14224,1.14423,1.14126,1.14423,23851.55
