Local time,Open,High,Low,Close,Volume
30.06.2020 17:00:00.000 GMT-0400,107.924,108.164,107.361,107.464,150647.34
01.07.2020 17:00:00.000 GMT-0400,107.463,107.723,107.330,107.499,124397.04
02.07.2020 17:00:00.000 GMT-0400,107.500,107.566,107.435,107.494,77695.31
03.07.2020 17:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 17:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 17:00:00.000 GMT-0400,107.448,107.772,107.257,107.343,109636
06.07.2020 17:00:00.000 GMT-0400,107.353,107.790,107.245,107.515,121674.44
07.07.2020 17:00:00.000 GMT-0400,107.524,107.711,107.201,107.253,124967.7
08.07.2020 17:00:00.000 GMT-0400,107.251,107.396,107.097,107.196,219993.87
09.07.2020 17:00:00.000 GMT-0400,107.197,107.263,106.638,106.917,127556.53
10.07.2020 17:00:00.000 GMT-0400,106.917,106.917,106.917,106.917,0
11.07.2020 17:00:00.000 GMT-0400,106.917,106.917,106.917,106.917,0
12.07.2020 17:00:00.000 GMT-0400,106.886,107.317,106.787,107.290,142951.95
13.07.2020 17:00:00.000 GMT-0400,107.288,107.434,107.118,107.231,192481.41
14.07.2020 17:00:00.000 GMT-0400,107.231,107.309,106.666,106.930,157041.96
15.07.2020 17:00:00.000 GMT-0400,106.933,107.400,106.832,107.242,157797.27
16.07.2020 17:00:00.000 GMT-0400,107.251,107.361,106.939,107.018,102945.92
17.07.2020 17:00:00.000 GMT-0400,107.018,107.018,107.018,107.018,0
18.07.2020 17:00:00.000 GMT-0400,107.018,107.018,107.018,107.018,0
19.07.2020 17:00:00.000 GMT-0400,107.026,107.538,107.014,107.251,200603.51
20.07.2020 17:00:00.000 GMT-0400,107.254,107.365,106.681,106.795,165498.14
21.07.2020 17:00:00.000 GMT-0400,106.795,107.289,106.710,107.153,234557.67
22.07.2020 17:00:00.000 GMT-0400,107.153,107.229,106.711,106.856,159044.95
23.07.2020 17:00:00.000 GMT-0400,106.854,106.900,105.682,106.123,241125.43
24.07.2020 17:00:00.000 GMT-0400,106.123,106.123,106.123,106.123,0
25.07.2020 17:00:00.000 GMT-0400,106.123,106.123,106.123,106.123,0
26.07.2020 17:00:00.000 GMT-0400,106.022,106.107,105.116,105.368,217966.7
27.07.2020 17:00:00.000 GMT-0400,105.367,105.686,104.956,105.085,200541.45
28.07.2020 17:00:00.000 GMT-0400,105.090,105.242,104.772,104.914,200829.7
29.07.2020 17:00:00.000 GMT-0400,104.916,105.294,104.678,104.723,217994.81
30.07.2020 17:00:00.000 GMT-0400,104.704,106.055,104.186,105.819,290555.24
31.07.2020 17:00:00.000 GMT-0400,105.819,105.819,105.819,105.819,0
01.08.2020 17:00:00.000 GMT-0400,105.819,105.819,105.819,105.819,0
02.08.2020 17:00:00.000 GMT-0400,105.772,106.471,105.580,105.947,278641.53
03.08.2020 17:00:00.000 GMT-0400,105.947,106.194,105.637,105.712,172313.02
04.08.2020 17:00:00.000 GMT-0400,105.711,105.872,105.319,105.594,193480.61
05.08.2020 17:00:00.000 GMT-0400,105.593,105.697,105.301,105.547,178579.9
06.08.2020 17:00:00.000 GMT-0400,105.543,106.055,105.479,105.911,184757.09
07.08.2020 17:00:00.000 GMT-0400,105.911,105.911,105.911,105.911,0
08.08.2020 17:00:00.000 GMT-0400,105.911,105.911,105.911,105.911,0
09.08.2020 17:00:00.000 GMT-0400,105.861,106.201,105.708,105.958,135791.74
10.08.2020 17:00:00.000 GMT-0400,105.955,106.683,105.910,106.486,244167.49
11.08.2020 17:00:00.000 GMT-0400,106.486,107.014,106.439,106.907,317084.19
12.08.2020 17:00:00.000 GMT-0400,106.898,107.049,106.565,106.922,189400.46
13.08.2020 17:00:00.000 GMT-0400,106.924,107.039,106.436,106.582,186201.25
14.08.2020 17:00:00.000 GMT-0400,106.582,106.582,106.582,106.582,0
15.08.2020 17:00:00.000 GMT-0400,106.582,106.582,106.582,106.582,0
16.08.2020 17:00:00.000 GMT-0400,106.558,106.654,105.942,106.000,153227.94
17.08.2020 17:00:00.000 GMT-0400,105.997,106.053,105.282,105.401,405397.36
18.08.2020 17:00:00.000 GMT-0400,105.400,106.151,105.101,106.102,293636.61
19.08.2020 17:00:00.000 GMT-0400,106.098,106.215,105.744,105.797,242215.67
20.08.2020 17:00:00.000 GMT-0400,105.776,106.072,105.441,105.783,240557.91
21.08.2020 17:00:00.000 GMT-0400,105.783,105.783,105.783,105.783,0
22.08.2020 17:00:00.000 GMT-0400,105.783,105.783,105.783,105.783,0
23.08.2020 17:00:00.000 GMT-0400,105.757,105.997,105.688,105.971,146403.14
24.08.2020 17:00:00.000 GMT-0400,105.971,106.577,105.871,106.382,251124.42
25.08.2020 17:00:00.000 GMT-0400,106.372,106.556,105.954,105.982,183439.27
26.08.2020 17:00:00.000 GMT-0400,105.989,106.701,105.602,106.559,270781.12
27.08.2020 17:00:00.000 GMT-0400,106.563,106.946,105.199,105.328,325531.92
28.08.2020 17:00:00.000 GMT-0400,105.328,105.328,105.328,105.328,0
29.08.2020 17:00:00.000 GMT-0400,105.328,105.328,105.328,105.328,0
30.08.2020 17:00:00.000 GMT-0400,105.438,106.096,105.292,105.898,722719.08
31.08.2020 17:00:00.000 GMT-0400,105.900,106.152,105.590,105.950,251468.31
01.09.2020 17:00:00.000 GMT-0400,105.956,106.302,105.850,106.180,234894.07
02.09.2020 17:00:00.000 GMT-0400,106.180,106.552,106.001,106.183,245563.58
03.09.2020 17:00:00.000 GMT-0400,106.184,106.504,106.054,106.222,204370.37
04.09.2020 17:00:00.000 GMT-0400,106.222,106.222,106.222,106.222,0
05.09.2020 17:00:00.000 GMT-0400,106.222,106.222,106.222,106.222,0
06.09.2020 17:00:00.000 GMT-0400,106.217,106.386,106.132,106.241,102595.88
07.09.2020 17:00:00.000 GMT-0400,106.235,106.382,105.861,106.023,246127.04
08.09.2020 17:00:00.000 GMT-0400,106.019,106.273,105.790,106.173,179878.52
09.09.2020 17:00:00.000 GMT-0400,106.175,106.302,105.981,106.127,207064.24
10.09.2020 17:00:00.000 GMT-0400,106.129,106.264,106.056,106.142,140509.15
11.09.2020 17:00:00.000 GMT-0400,106.142,106.142,106.142,106.142,0
12.09.2020 17:00:00.000 GMT-0400,106.142,106.142,106.142,106.142,0
13.09.2020 17:00:00.000 GMT-0400,106.069,106.164,105.548,105.723,113857.27
14.09.2020 17:00:00.000 GMT-0400,105.723,105.814,105.300,105.439,133809.12
15.09.2020 17:00:00.000 GMT-0400,105.436,105.436,104.800,104.945,176471.64
16.09.2020 17:00:00.000 GMT-0400,104.945,105.173,104.525,104.738,185682.79
17.09.2020 17:00:00.000 GMT-0400,104.737,104.870,104.272,104.564,131946.36
18.09.2020 17:00:00.000 GMT-0400,104.564,104.564,104.564,104.564,0
19.09.2020 17:00:00.000 GMT-0400,104.564,104.564,104.564,104.564,0
20.09.2020 17:00:00.000 GMT-0400,104.500,104.891,103.999,104.641,164112.24
21.09.2020 17:00:00.000 GMT-0400,104.638,105.076,104.405,104.923,136951.15
22.09.2020 17:00:00.000 GMT-0400,104.926,105.494,104.858,105.384,169637.87
