Local time,Open,High,Low,Close,Volume
01.07.2020 00:00:00.000 GMT-0400,107.685,107.699,107.586,107.655,6597.07
01.07.2020 01:00:00.000 GMT-0400,107.655,107.667,107.572,107.597,5530.73
01.07.2020 02:00:00.000 GMT-0400,107.596,107.695,107.595,107.689,6045.14
01.07.2020 03:00:00.000 GMT-0400,107.689,107.708,107.561,107.574,6546.02
01.07.2020 04:00:00.000 GMT-0400,107.575,107.586,107.469,107.531,6579.41
01.07.2020 05:00:00.000 GMT-0400,107.530,107.558,107.500,107.528,5287.21
01.07.2020 06:00:00.000 GMT-0400,107.529,107.556,107.468,107.493,6823.31
01.07.2020 07:00:00.000 GMT-0400,107.494,107.532,107.452,107.459,5749.89
01.07.2020 08:00:00.000 GMT-0400,107.462,107.486,107.361,107.443,9979.64
01.07.2020 09:00:00.000 GMT-0400,107.442,107.592,107.427,107.552,9359.41
01.07.2020 10:00:00.000 GMT-0400,107.558,107.601,107.366,107.524,12070
01.07.2020 11:00:00.000 GMT-0400,107.523,107.532,107.423,107.511,7960.87
01.07.2020 12:00:00.000 GMT-0400,107.512,107.553,107.421,107.421,6456.02
01.07.2020 13:00:00.000 GMT-0400,107.421,107.470,107.410,107.469,4714.93
01.07.2020 14:00:00.000 GMT-0400,107.467,107.491,107.432,107.483,4579.54
01.07.2020 15:00:00.000 GMT-0400,107.486,107.505,107.447,107.473,5252.87
01.07.2020 16:00:00.000 GMT-0400,107.473,107.489,107.444,107.464,2328.38
01.07.2020 17:00:00.000 GMT-0400,107.463,107.474,107.439,107.450,1609.99
01.07.2020 18:00:00.000 GMT-0400,107.457,107.472,107.413,107.452,3071.83
01.07.2020 19:00:00.000 GMT-0400,107.452,107.452,107.337,107.371,2750.2
01.07.2020 20:00:00.000 GMT-0400,107.371,107.484,107.330,107.472,7955.81
01.07.2020 21:00:00.000 GMT-0400,107.472,107.490,107.416,107.471,5844.21
01.07.2020 22:00:00.000 GMT-0400,107.471,107.556,107.448,107.545,5056.64
01.07.2020 23:00:00.000 GMT-0400,107.547,107.553,107.464,107.466,4150.1
02.07.2020 00:00:00.000 GMT-0400,107.466,107.468,107.416,107.431,3363.67
02.07.2020 01:00:00.000 GMT-0400,107.432,107.463,107.425,107.462,2934.11
02.07.2020 02:00:00.000 GMT-0400,107.461,107.507,107.446,107.506,4291.02
02.07.2020 03:00:00.000 GMT-0400,107.507,107.554,107.467,107.480,6342.2
02.07.2020 04:00:00.000 GMT-0400,107.481,107.484,107.349,107.372,7028.53
02.07.2020 05:00:00.000 GMT-0400,107.372,107.449,107.345,107.439,3895.39
02.07.2020 06:00:00.000 GMT-0400,107.441,107.503,107.407,107.500,4564.05
02.07.2020 07:00:00.000 GMT-0400,107.502,107.523,107.438,107.449,3818.16
02.07.2020 08:00:00.000 GMT-0400,107.446,107.639,107.403,107.630,12534.33
02.07.2020 09:00:00.000 GMT-0400,107.629,107.723,107.532,107.549,12731.03
02.07.2020 10:00:00.000 GMT-0400,107.554,107.637,107.450,107.620,12111.92
02.07.2020 11:00:00.000 GMT-0400,107.620,107.622,107.516,107.545,6766.21
02.07.2020 12:00:00.000 GMT-0400,107.545,107.599,107.532,107.584,3965.77
02.07.2020 13:00:00.000 GMT-0400,107.585,107.590,107.538,107.560,3164.33
02.07.2020 14:00:00.000 GMT-0400,107.560,107.579,107.552,107.558,2515.2
02.07.2020 15:00:00.000 GMT-0400,107.558,107.559,107.527,107.537,2401.33
02.07.2020 16:00:00.000 GMT-0400,107.536,107.547,107.478,107.499,1531.01
02.07.2020 17:00:00.000 GMT-0400,107.500,107.546,107.477,107.526,474.28
02.07.2020 18:00:00.000 GMT-0400,107.526,107.534,107.488,107.527,2003.05
02.07.2020 19:00:00.000 GMT-0400,107.527,107.542,107.483,107.498,2118.76
02.07.2020 20:00:00.000 GMT-0400,107.498,107.562,107.435,107.508,6272.18
02.07.2020 21:00:00.000 GMT-0400,107.508,107.547,107.492,107.542,5329.16
02.07.2020 22:00:00.000 GMT-0400,107.540,107.566,107.500,107.518,3514.19
02.07.2020 23:00:00.000 GMT-0400,107.517,107.532,107.482,107.492,2748.2
03.07.2020 00:00:00.000 GMT-0400,107.492,107.537,107.472,107.515,2846.36
03.07.2020 01:00:00.000 GMT-0400,107.515,107.536,107.486,107.499,3090.28
03.07.2020 02:00:00.000 GMT-0400,107.500,107.533,107.478,107.495,3904.64
03.07.2020 03:00:00.000 GMT-0400,107.495,107.512,107.469,107.479,5582.29
03.07.2020 04:00:00.000 GMT-0400,107.480,107.494,107.447,107.464,3355.55
03.07.2020 05:00:00.000 GMT-0400,107.463,107.491,107.458,107.478,3004.57
03.07.2020 06:00:00.000 GMT-0400,107.478,107.528,107.472,107.494,3972.95
03.07.2020 07:00:00.000 GMT-0400,107.493,107.527,107.475,107.525,2981.26
03.07.2020 08:00:00.000 GMT-0400,107.525,107.532,107.502,107.514,2881.38
03.07.2020 09:00:00.000 GMT-0400,107.514,107.516,107.496,107.503,2012.59
03.07.2020 10:00:00.000 GMT-0400,107.503,107.533,107.490,107.528,3681.27
03.07.2020 11:00:00.000 GMT-0400,107.527,107.534,107.505,107.523,2276.68
03.07.2020 12:00:00.000 GMT-0400,107.524,107.535,107.505,107.507,2358.57
03.07.2020 13:00:00.000 GMT-0400,107.507,107.513,107.501,107.506,2086.38
03.07.2020 14:00:00.000 GMT-0400,107.506,107.511,107.495,107.495,3529.02
03.07.2020 15:00:00.000 GMT-0400,107.496,107.496,107.480,107.485,1347.06
03.07.2020 16:00:00.000 GMT-0400,107.484,107.515,107.471,107.494,6324.64
03.07.2020 17:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
03.07.2020 18:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
03.07.2020 19:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
03.07.2020 20:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
03.07.2020 21:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
03.07.2020 22:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
03.07.2020 23:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 00:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 01:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 02:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 03:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 04:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 05:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 06:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 07:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 08:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 09:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 10:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 11:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 12:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 13:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 14:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 15:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 16:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 17:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 18:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 19:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 20:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 21:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 22:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
04.07.2020 23:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 00:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 01:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 02:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 03:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 04:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 05:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 06:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 07:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 08:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 09:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 10:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 11:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 12:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 13:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 14:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 15:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 16:00:00.000 GMT-0400,107.494,107.494,107.494,107.494,0
05.07.2020 17:00:00.000 GMT-0400,107.448,107.511,107.421,107.506,1882.1
05.07.2020 18:00:00.000 GMT-0400,107.523,107.566,107.499,107.543,1227.32
05.07.2020 19:00:00.000 GMT-0400,107.542,107.596,107.540,107.584,1910.88
05.07.2020 20:00:00.000 GMT-0400,107.585,107.677,107.573,107.661,9425.35
05.07.2020 21:00:00.000 GMT-0400,107.660,107.740,107.659,107.721,8812.42
05.07.2020 22:00:00.000 GMT-0400,107.721,107.772,107.681,107.696,5048.87
05.07.2020 23:00:00.000 GMT-0400,107.696,107.722,107.661,107.686,3961.79
06.07.2020 00:00:00.000 GMT-0400,107.688,107.718,107.644,107.648,2816.72
06.07.2020 01:00:00.000 GMT-0400,107.648,107.705,107.648,107.689,2930.44
06.07.2020 02:00:00.000 GMT-0400,107.689,107.704,107.601,107.618,5579.79
06.07.2020 03:00:00.000 GMT-0400,107.619,107.633,107.548,107.592,6512.95
06.07.2020 04:00:00.000 GMT-0400,107.591,107.611,107.543,107.572,3893.82
06.07.2020 05:00:00.000 GMT-0400,107.572,107.585,107.521,107.540,3903.69
06.07.2020 06:00:00.000 GMT-0400,107.539,107.597,107.536,107.563,5090.21
06.07.2020 07:00:00.000 GMT-0400,107.564,107.564,107.498,107.522,4123.99
06.07.2020 08:00:00.000 GMT-0400,107.522,107.539,107.456,107.491,4853
06.07.2020 09:00:00.000 GMT-0400,107.491,107.534,107.435,107.530,7074.15
06.07.2020 10:00:00.000 GMT-0400,107.530,107.594,107.447,107.460,8376.64
06.07.2020 11:00:00.000 GMT-0400,107.465,107.518,107.448,107.503,5211.91
06.07.2020 12:00:00.000 GMT-0400,107.500,107.505,107.436,107.437,3478.73
06.07.2020 13:00:00.000 GMT-0400,107.437,107.440,107.374,107.402,3235.82
