Local time,Open,High,Low,Close,Volume
06.07.2023 00:00:00.000 GMT-0400,144.230,144.230,144.044,144.053,7785.56
06.07.2023 00:30:00.000 GMT-0400,144.054,144.098,143.922,143.968,9305.09
06.07.2023 01:00:00.000 GMT-0400,143.967,143.975,143.775,143.777,9821.69
06.07.2023 01:30:00.000 GMT-0400,143.778,143.780,143.678,143.718,9899.6
06.07.2023 02:00:00.000 GMT-0400,143.716,143.841,143.617,143.736,13418.4
06.07.2023 02:30:00.000 GMT-0400,143.736,143.894,143.736,143.837,10440.9
06.07.2023 03:00:00.000 GMT-0400,143.837,143.894,143.552,143.625,15380.49
06.07.2023 03:30:00.000 GMT-0400,143.626,143.978,143.587,143.911,13172.44
06.07.2023 04:00:00.000 GMT-0400,143.911,144.062,143.871,143.971,10662
06.07.2023 04:30:00.000 GMT-0400,143.970,144.032,143.887,143.998,10943.07
06.07.2023 05:00:00.000 GMT-0400,143.999,144.061,143.944,143.966,7783.31
06.07.2023 05:30:00.000 GMT-0400,143.955,144.130,143.951,144.109,5707.96
06.07.2023 06:00:00.000 GMT-0400,144.109,144.110,143.902,143.915,6697.4
06.07.2023 06:30:00.000 GMT-0400,143.915,143.956,143.803,143.832,8422.06
06.07.2023 07:00:00.000 GMT-0400,143.833,143.878,143.741,143.815,7433.69
06.07.2023 07:30:00.000 GMT-0400,143.816,143.850,143.671,143.682,6644.35
06.07.2023 08:00:00.000 GMT-0400,143.681,144.259,143.633,144.059,19585.81
06.07.2023 08:30:00.000 GMT-0400,144.059,144.344,144.010,144.196,29026.54
06.07.2023 09:00:00.000 GMT-0400,144.196,144.294,144.088,144.132,17007.62
06.07.2023 09:30:00.000 GMT-0400,144.135,144.305,144.053,144.222,19806.4
06.07.2023 10:00:00.000 GMT-0400,144.222,144.594,144.173,144.517,25399.66
06.07.2023 10:30:00.000 GMT-0400,144.518,144.651,144.245,144.279,16735.56
06.07.2023 11:00:00.000 GMT-0400,144.281,144.342,143.953,144.199,14262.91
06.07.2023 11:30:00.000 GMT-0400,144.199,144.261,144.078,144.093,11952.98
06.07.2023 12:00:00.000 GMT-0400,144.092,144.106,143.958,144.072,8039.83
