Local time,Open,High,Low,Close,Volume
01.07.2020 17:00:00.000 GMT-0400,1769.758,1779.425,1757.438,1774.648,56427455.25
02.07.2020 17:00:00.000 GMT-0400,1775.258,1777.048,1772.588,1774.818,24276947.86
03.07.2020 17:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
04.07.2020 17:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
05.07.2020 17:00:00.000 GMT-0400,1773.368,1786.918,1769.818,1784.098,50676266.94
06.07.2020 17:00:00.000 GMT-0400,1782.688,1797.358,1773.398,1794.468,63701415
07.07.2020 17:00:00.000 GMT-0400,1794.718,1817.848,1791.448,1808.338,58850178.81
08.07.2020 17:00:00.000 GMT-0400,1805.018,1815.855,1795.258,1802.988,61911509.51
09.07.2020 17:00:00.000 GMT-0400,1801.258,1810.496,1793.935,1798.088,50328258.48
10.07.2020 17:00:00.000 GMT-0400,1798.088,1798.088,1798.088,1798.088,0
11.07.2020 17:00:00.000 GMT-0400,1798.088,1798.088,1798.088,1798.088,0
12.07.2020 17:00:00.000 GMT-0400,1799.188,1813.198,1797.708,1802.238,53311214.98
13.07.2020 17:00:00.000 GMT-0400,1802.538,1810.788,1790.418,1808.878,62056741.3
14.07.2020 17:00:00.000 GMT-0400,1807.838,1814.916,1802.228,1809.828,57357362.18
15.07.2020 17:00:00.000 GMT-0400,1809.648,1813.138,1794.788,1796.588,52349286.41
16.07.2020 17:00:00.000 GMT-0400,1796.458,1811.878,1795.608,1809.248,40067572.95
17.07.2020 17:00:00.000 GMT-0400,1809.248,1809.248,1809.248,1809.248,0
18.07.2020 17:00:00.000 GMT-0400,1809.248,1809.248,1809.248,1809.248,0
19.07.2020 17:00:00.000 GMT-0400,1808.838,1820.438,1805.565,1817.498,52293440.28
20.07.2020 17:00:00.000 GMT-0400,1817.288,1843.398,1815.668,1841.465,67186440.11
21.07.2020 17:00:00.000 GMT-0400,1839.208,1871.948,1839.208,1870.908,87924804.45
22.07.2020 17:00:00.000 GMT-0400,1871.758,1898.228,1863.909,1886.958,100871536.73
23.07.2020 17:00:00.000 GMT-0400,1885.228,1906.458,1881.265,1901.098,74174447.24
24.07.2020 17:00:00.000 GMT-0400,1901.098,1901.098,1901.098,1901.098,0
25.07.2020 17:00:00.000 GMT-0400,1901.098,1901.098,1901.098,1901.098,0
26.07.2020 17:00:00.000 GMT-0400,1901.988,1945.515,1899.638,1941.978,117938120.84
27.07.2020 17:00:00.000 GMT-0400,1941.508,1980.980,1906.645,1957.218,114649057.87
28.07.2020 17:00:00.000 GMT-0400,1957.688,1980.798,1941.328,1970.378,80367180.47
29.07.2020 17:00:00.000 GMT-0400,1969.588,1971.445,1939.245,1956.148,90126812.93
30.07.2020 17:00:00.000 GMT-0400,1956.318,1984.218,1954.908,1975.568,90137291.97
31.07.2020 17:00:00.000 GMT-0400,1975.568,1975.568,1975.568,1975.568,0
01.08.2020 17:00:00.000 GMT-0400,1975.568,1975.568,1975.568,1975.568,0
02.08.2020 17:00:00.000 GMT-0400,1978.898,1989.148,1960.378,1976.378,74593803.88
03.08.2020 17:00:00.000 GMT-0400,1976.348,2019.885,1966.725,2018.548,72785097.12
04.08.2020 17:00:00.000 GMT-0400,2018.518,2055.648,2009.338,2037.418,97587746.44
05.08.2020 17:00:00.000 GMT-0400,2038.578,2069.595,2034.385,2062.828,86805336.06
06.08.2020 17:00:00.000 GMT-0400,2063.348,2074.798,2015.385,2034.298,118280467.03
07.08.2020 17:00:00.000 GMT-0400,2034.298,2034.298,2034.298,2034.298,0
08.08.2020 17:00:00.000 GMT-0400,2034.298,2034.298,2034.298,2034.298,0
09.08.2020 17:00:00.000 GMT-0400,2033.708,2049.748,2018.638,2026.728,84750752.93
10.08.2020 17:00:00.000 GMT-0400,2027.498,2029.935,1901.188,1910.928,120491916.66
11.08.2020 17:00:00.000 GMT-0400,1909.408,1949.548,1862.318,1915.138,132044485.09
12.08.2020 17:00:00.000 GMT-0400,1915.718,1966.165,1912.608,1952.968,104746261.95
13.08.2020 17:00:00.000 GMT-0400,1953.128,1962.075,1932.025,1943.998,92041398.05
14.08.2020 17:00:00.000 GMT-0400,1943.998,1943.998,1943.998,1943.998,0
15.08.2020 17:00:00.000 GMT-0400,1943.998,1943.998,1943.998,1943.998,0
16.08.2020 17:00:00.000 GMT-0400,1948.718,1990.478,1929.348,1984.948,86962546.35
17.08.2020 17:00:00.000 GMT-0400,1984.268,2015.498,1975.898,2001.998,95397821.19
18.08.2020 17:00:00.000 GMT-0400,2001.728,2006.355,1924.528,1928.488,109227890.01
19.08.2020 17:00:00.000 GMT-0400,1928.438,1955.125,1924.688,1946.668,107240889.43
20.08.2020 17:00:00.000 GMT-0400,1946.738,1955.765,1911.238,1939.618,101114348.05
21.08.2020 17:00:00.000 GMT-0400,1939.618,1939.618,1939.618,1939.618,0
22.08.2020 17:00:00.000 GMT-0400,1939.618,1939.618,1939.618,1939.618,0
23.08.2020 17:00:00.000 GMT-0400,1939.868,1961.788,1923.608,1928.418,84926125.17
24.08.2020 17:00:00.000 GMT-0400,1926.628,1937.425,1914.105,1927.658,79810054.6
25.08.2020 17:00:00.000 GMT-0400,1930.918,1954.748,1902.678,1953.938,80266145.17
26.08.2020 17:00:00.000 GMT-0400,1954.288,1976.578,1909.778,1929.098,94784833.31
27.08.2020 17:00:00.000 GMT-0400,1928.718,1973.718,1923.288,1964.428,90033887.33
28.08.2020 17:00:00.000 GMT-0400,1964.428,1964.428,1964.428,1964.428,0
29.08.2020 17:00:00.000 GMT-0400,1964.428,1964.428,1964.428,1964.428,0
30.08.2020 17:00:00.000 GMT-0400,1965.378,1976.465,1954.125,1967.438,77214074.73
31.08.2020 17:00:00.000 GMT-0400,1967.108,1992.298,1963.115,1969.988,88593084.1
01.09.2020 17:00:00.000 GMT-0400,1969.408,1973.118,1932.428,1942.468,89013887.88
02.09.2020 17:00:00.000 GMT-0400,1942.038,1950.905,1921.658,1930.328,90053659.8
03.09.2020 17:00:00.000 GMT-0400,1930.958,1947.655,1916.198,1933.298,84194229.84
04.09.2020 17:00:00.000 GMT-0400,1933.298,1933.298,1933.298,1933.298,0
05.09.2020 17:00:00.000 GMT-0400,1933.298,1933.298,1933.298,1933.298,0
06.09.2020 17:00:00.000 GMT-0400,1929.788,1941.268,1924.288,1927.998,32411380.29
07.09.2020 17:00:00.000 GMT-0400,1929.298,1940.748,1906.428,1931.648,65137250.39
08.09.2020 17:00:00.000 GMT-0400,1931.538,1950.775,1919.935,1946.358,49544620.22
09.09.2020 17:00:00.000 GMT-0400,1946.388,1966.398,1941.315,1945.408,61198339.46
10.09.2020 17:00:00.000 GMT-0400,1944.678,1954.658,1937.008,1938.928,64632849.81
11.09.2020 17:00:00.000 GMT-0400,1938.928,1938.928,1938.928,1938.928,0
12.09.2020 17:00:00.000 GMT-0400,1938.928,1938.928,1938.928,1938.928,0
13.09.2020 17:00:00.000 GMT-0400,1940.548,1962.385,1937.018,1956.538,52430419.15
14.09.2020 17:00:00.000 GMT-0400,1956.998,1972.028,1948.278,1953.848,55975669.89
15.09.2020 17:00:00.000 GMT-0400,1953.048,1973.468,1949.798,1958.878,63567809.85
16.09.2020 17:00:00.000 GMT-0400,1958.918,1960.865,1932.745,1943.718,66771692.4
17.09.2020 17:00:00.000 GMT-0400,1943.648,1959.898,1943.548,1949.718,53074864.63
18.09.2020 17:00:00.000 GMT-0400,1949.718,1949.718,1949.718,1949.718,0
19.09.2020 17:00:00.000 GMT-0400,1949.718,1949.718,1949.718,1949.718,0
20.09.2020 17:00:00.000 GMT-0400,1949.588,1955.458,1882.375,1912.058,77779617.61
21.09.2020 17:00:00.000 GMT-0400,1912.448,1919.888,1894.458,1899.868,76263438.52
22.09.2020 17:00:00.000 GMT-0400,1900.008,1905.208,1855.678,1863.158,94660693.05
23.09.2020 17:00:00.000 GMT-0400,1863.348,1876.988,1848.635,1867.418,88297985.02
24.09.2020 17:00:00.000 GMT-0400,1867.648,1875.075,1852.298,1860.998,72296869.99
25.09.2020 17:00:00.000 GMT-0400,1860.998,1860.998,1860.998,1860.998,0
26.09.2020 17:00:00.000 GMT-0400,1860.998,1860.998,1860.998,1860.998,0
27.09.2020 17:00:00.000 GMT-0400,1859.448,1882.898,1848.455,1881.218,65505659.73
28.09.2020 17:00:00.000 GMT-0400,1880.848,1898.958,1875.308,1897.718,62756740.57
29.09.2020 17:00:00.000 GMT-0400,1898.028,1902.115,1881.238,1885.568,69700635.19
30.09.2020 17:00:00.000 GMT-0400,1885.538,1912.028,1884.555,1905.818,68767590.64
01.10.2020 17:00:00.000 GMT-0400,1904.978,1916.975,1889.638,1898.868,62154085.28
02.10.2020 17:00:00.000 GMT-0400,1898.868,1898.868,1898.868,1898.868,0
03.10.2020 17:00:00.000 GMT-0400,1898.868,1898.868,1898.868,1898.868,0
04.10.2020 17:00:00.000 GMT-0400,1903.828,1918.575,1886.898,1913.098,53063369.93
05.10.2020 17:00:00.000 GMT-0400,1912.568,1921.018,1874.558,1877.748,64131051.84
06.10.2020 17:00:00.000 GMT-0400,1878.368,1897.898,1872.748,1886.948,53350954.83
07.10.2020 17:00:00.000 GMT-0400,1886.638,1900.498,1881.938,1893.628,48598360.33
08.10.2020 17:00:00.000 GMT-0400,1893.538,1930.325,1893.378,1929.618,56612475.75
09.10.2020 17:00:00.000 GMT-0400,1929.618,1929.618,1929.618,1929.618,0
10.10.2020 17:00:00.000 GMT-0400,1929.618,1929.618,1929.618,1929.618,0
11.10.2020 17:00:00.000 GMT-0400,1928.788,1933.048,1918.158,1922.438,59648195.15
12.10.2020 17:00:00.000 GMT-0400,1922.578,1925.355,1886.308,1891.008,67382717.07
13.10.2020 17:00:00.000 GMT-0400,1891.078,1912.828,1882.395,1901.448,56485474.77
14.10.2020 17:00:00.000 GMT-0400,1901.538,1908.798,1889.438,1908.398,59903010.16
15.10.2020 17:00:00.000 GMT-0400,1908.208,1913.808,1897.658,1898.968,47789750.43
16.10.2020 17:00:00.000 GMT-0400,1898.968,1898.968,1898.968,1898.968,0
17.10.2020 17:00:00.000 GMT-0400,1898.968,1898.968,1898.968,1898.968,0
18.10.2020 17:00:00.000 GMT-0400,1899.668,1918.338,1896.878,1903.778,50734944.46
19.10.2020 17:00:00.000 GMT-0400,1903.498,1913.985,1894.618,1906.535,49492510.14
20.10.2020 17:00:00.000 GMT-0400,1907.788,1931.298,1907.788,1924.148,53696824.85
21.10.2020 17:00:00.000 GMT-0400,1923.798,1925.878,1894.208,1903.828,51959690.69
22.10.2020 17:00:00.000 GMT-0400,1903.638,1914.108,1894.198,1901.258,46148210.11
23.10.2020 17:00:00.000 GMT-0400,1901.258,1901.258,1901.258,1901.258,0
24.10.2020 17:00:00.000 GMT-0400,1901.258,1901.258,1901.258,1901.258,0
25.10.2020 17:00:00.000 GMT-0400,1903.298,1908.458,1891.135,1901.858,54653052.15
26.10.2020 17:00:00.000 GMT-0400,1901.658,1911.348,1897.718,1907.668,45143970.07
27.10.2020 17:00:00.000 GMT-0400,1907.758,1910.768,1869.208,1876.968,69939720.51
28.10.2020 17:00:00.000 GMT-0400,1876.488,1884.858,1859.868,1867.518,68047550.26
29.10.2020 17:00:00.000 GMT-0400,1865.898,1889.698,1864.258,1878.438,69176219.76
30.10.2020 17:00:00.000 GMT-0400,1878.438,1878.438,1878.438,1878.438,0
31.10.2020 17:00:00.000 GMT-0400,1878.438,1878.438,1878.438,1878.438,0
01.11.2020 17:00:00.000 GMT-0500,1876.928,1895.898,1873.308,1894.888,64736449.78
02.11.2020 17:00:00.000 GMT-0500,1895.148,1910.465,1886.835,1908.828,52289984.7
03.11.2020 17:00:00.000 GMT-0500,1908.738,1916.228,1880.635,1902.288,77450208.25
04.11.2020 17:00:00.000 GMT-0500,1903.038,1952.648,1902.028,1949.238,76777863.14
05.11.2020 17:00:00.000 GMT-0500,1948.378,1960.198,1935.468,1950.298,67388070.94
06.11.2020 17:00:00.000 GMT-0500,1950.298,1950.298,1950.298,1950.298,0
07.11.2020 17:00:00.000 GMT-0500,1950.298,1950.298,1950.298,1950.298,0
08.11.2020 17:00:00.000 GMT-0500,1954.688,1965.415,1850.398,1862.078,90937927.48
09.11.2020 17:00:00.000 GMT-0500,1864.078,1890.238,1860.138,1877.038,77064183.47
10.11.2020 17:00:00.000 GMT-0500,1876.858,1884.378,1856.208,1865.228,59705315.29
11.11.2020 17:00:00.000 GMT-0500,1864.598,1883.698,1862.588,1876.588,59758580.21
12.11.2020 17:00:00.000 GMT-0500,1876.928,1896.658,1873.978,1888.288,52841044.13
13.11.2020 17:00:00.000 GMT-0500,1888.288,1888.288,1888.288,1888.288,0
14.11.2020 17:00:00.000 GMT-0500,1888.288,1888.288,1888.288,1888.288,0
15.11.2020 17:00:00.000 GMT-0500,1888.138,1898.928,1864.498,1888.578,62061666.85
16.11.2020 17:00:00.000 GMT-0500,1888.663,1893.325,1876.735,1879.998,54789476.04
17.11.2020 17:00:00.000 GMT-0500,1879.988,1884.718,1863.508,1871.868,60981652.38
18.11.2020 17:00:00.000 GMT-0500,1872.068,1873.968,1852.568,1865.808,59196039.5
19.11.2020 17:00:00.000 GMT-0500,1865.668,1879.618,1860.908,1870.318,49478039.68
20.11.2020 17:00:00.000 GMT-0500,1870.318,1870.318,1870.318,1870.318,0
21.11.2020 17:00:00.000 GMT-0500,1870.318,1870.318,1870.318,1870.318,0
22.11.2020 17:00:00.000 GMT-0500,1869.943,1876.038,1830.778,1837.488,59144653.74
23.11.2020 17:00:00.000 GMT-0500,1838.138,1838.948,1799.988,1807.208,73813220.32
24.11.2020 17:00:00.000 GMT-0500,1806.838,1817.578,1801.495,1807.498,56747049.69
25.11.2020 17:00:00.000 GMT-0500,1807.608,1818.088,1805.634,1810.184,30045858.23
26.11.2020 17:00:00.000 GMT-0500,1809.463,1813.778,1774.218,1786.648,43446881.2
27.11.2020 17:00:00.000 GMT-0500,1786.648,1786.648,1786.648,1786.648,0
28.11.2020 17:00:00.000 GMT-0500,1786.648,1786.648,1786.648,1786.648,0
29.11.2020 17:00:00.000 GMT-0500,1787.208,1789.808,1764.245,1776.598,60067919.82
30.11.2020 17:00:00.000 GMT-0500,1776.291,1817.178,1775.685,1814.968,57635597.95
01.12.2020 17:00:00.000 GMT-0500,1815.028,1832.338,1807.405,1830.528,49137992.86
02.12.2020 17:00:00.000 GMT-0500,1830.178,1843.808,1823.648,1840.778,54304685.18
03.12.2020 17:00:00.000 GMT-0500,1840.258,1848.088,1828.988,1838.208,55932740.72
04.12.2020 17:00:00.000 GMT-0500,1838.208,1838.208,1838.208,1838.208,0
05.12.2020 17:00:00.000 GMT-0500,1838.208,1838.208,1838.208,1838.208,0
06.12.2020 17:00:00.000 GMT-0500,1838.528,1868.448,1821.808,1862.418,50571197.24
07.12.2020 17:00:00.000 GMT-0500,1862.248,1875.168,1860.148,1870.168,42109560.43
08.12.2020 17:00:00.000 GMT-0500,1870.578,1870.908,1825.363,1839.318,58151124.95
09.12.2020 17:00:00.000 GMT-0500,1839.578,1849.958,1828.528,1836.378,49340169.58
10.12.2020 17:00:00.000 GMT-0500,1835.948,1847.648,1823.843,1838.998,42896539.96
11.12.2020 17:00:00.000 GMT-0500,1838.998,1838.998,1838.998,1838.998,0
12.12.2020 17:00:00.000 GMT-0500,1838.998,1838.998,1838.998,1838.998,0
13.12.2020 17:00:00.000 GMT-0500,1840.698,1841.288,1818.268,1826.798,44652533.95
14.12.2020 17:00:00.000 GMT-0500,1827.588,1855.242,1825.348,1852.938,39481672.23
15.12.2020 17:00:00.000 GMT-0500,1852.774,1865.658,1844.663,1864.118,57724504.89
16.12.2020 17:00:00.000 GMT-0500,1863.808,1896.118,1861.898,1885.198,54316282.06
17.12.2020 17:00:00.000 GMT-0500,1885.198,1889.538,1877.275,1880.838,47144829.75
18.12.2020 17:00:00.000 GMT-0500,1880.838,1880.838,1880.838,1880.838,0
19.12.2020 17:00:00.000 GMT-0500,1880.838,1880.838,1880.838,1880.838,0
20.12.2020 17:00:00.000 GMT-0500,1883.818,1906.638,1854.955,1876.328,77611334.95
21.12.2020 17:00:00.000 GMT-0500,1876.818,1884.238,1858.845,1859.748,56084993.9
22.12.2020 17:00:00.000 GMT-0500,1859.225,1878.348,1856.938,1872.638,50202801.23
23.12.2020 17:00:00.000 GMT-0500,1872.538,1883.465,1869.378,1879.125,25809249.85
24.12.2020 17:00:00.000 GMT-0500,1879.125,1879.125,1879.125,1879.125,0
25.12.2020 17:00:00.000 GMT-0500,1879.125,1879.125,1879.125,1879.125,0
26.12.2020 17:00:00.000 GMT-0500,1879.125,1879.125,1879.125,1879.125,0
27.12.2020 17:00:00.000 GMT-0500,1882.921,1900.098,1869.018,1873.168,45350825.04
28.12.2020 17:00:00.000 GMT-0500,1872.918,1886.278,1871.595,1878.128,39860609.41
29.12.2020 17:00:00.000 GMT-0500,1877.388,1894.465,1875.965,1894.078,32401869.57
30.12.2020 17:00:00.000 GMT-0500,1894.138,1900.880,1885.308,1897.765,33752759.81
31.12.2020 17:00:00.000 GMT-0500,1897.765,1897.765,1897.765,1897.765,0
01.01.2021 17:00:00.000 GMT-0500,1897.765,1897.765,1897.765,1897.765,0
02.01.2021 17:00:00.000 GMT-0500,1897.765,1897.765,1897.765,1897.765,0
03.01.2021 17:00:00.000 GMT-0500,1904.998,1944.348,1903.288,1942.548,58990078
04.01.2021 17:00:00.000 GMT-0500,1941.228,1952.925,1934.178,1949.698,49685439.94
05.01.2021 17:00:00.000 GMT-0500,1949.978,1959.225,1900.755,1917.998,71500037.31
06.01.2021 17:00:00.000 GMT-0500,1918.558,1927.518,1906.705,1913.818,58029389.68
07.01.2021 17:00:00.000 GMT-0500,1913.828,1917.335,1828.038,1848.508,76993703.78
08.01.2021 17:00:00.000 GMT-0500,1848.508,1848.508,1848.508,1848.508,0
09.01.2021 17:00:00.000 GMT-0500,1848.508,1848.508,1848.508,1848.508,0
10.01.2021 17:00:00.000 GMT-0500,1849.163,1856.568,1816.888,1843.038,66455511.96
11.01.2021 17:00:00.000 GMT-0500,1844.638,1863.738,1836.558,1854.278,58496208.76
12.01.2021 17:00:00.000 GMT-0500,1854.328,1862.892,1841.808,1844.728,57268793.94
13.01.2021 17:00:00.000 GMT-0500,1845.232,1857.392,1828.518,1846.058,53980170.46
14.01.2021 17:00:00.000 GMT-0500,1845.198,1856.848,1823.235,1827.478,56692547.5
15.01.2021 17:00:00.000 GMT-0500,1827.478,1827.478,1827.478,1827.478,0
16.01.2021 17:00:00.000 GMT-0500,1827.478,1827.478,1827.478,1827.478,0
17.01.2021 17:00:00.000 GMT-0500,1828.608,1840.675,1802.948,1837.338,49089684.13
18.01.2021 17:00:00.000 GMT-0500,1837.558,1845.335,1832.843,1839.925,53406274.86
19.01.2021 17:00:00.000 GMT-0500,1839.712,1871.948,1832.272,1871.548,72797069.73
20.01.2021 17:00:00.000 GMT-0500,1870.517,1874.915,1858.131,1869.615,65500729.86
21.01.2021 17:00:00.000 GMT-0500,1869.192,1870.605,1837.195,1855.198,68331655.2
22.01.2021 17:00:00.000 GMT-0500,1855.198,1855.198,1855.198,1855.198,0
23.01.2021 17:00:00.000 GMT-0500,1855.198,1855.198,1855.198,1855.198,0
24.01.2021 17:00:00.000 GMT-0500,1854.187,1867.735,1847.025,1855.045,76026958.76
25.01.2021 17:00:00.000 GMT-0500,1854.983,1861.635,1848.345,1850.435,65229954.6
26.01.2021 17:00:00.000 GMT-0500,1849.908,1853.096,1831.227,1843.835,78432128.13
27.01.2021 17:00:00.000 GMT-0500,1843.467,1863.915,1833.925,1842.155,95223439.1
28.01.2021 17:00:00.000 GMT-0500,1842.542,1875.522,1839.418,1847.048,111261595.01
29.01.2021 17:00:00.000 GMT-0500,1847.048,1847.048,1847.048,1847.048,0
30.01.2021 17:00:00.000 GMT-0500,1847.048,1847.048,1847.048,1847.048,0
31.01.2021 17:00:00.000 GMT-0500,1863.422,1871.636,1848.892,1860.248,114171628.83
