Local time,Open,High,Low,Close,Volume
13.07.2023 00:00:00.000 GMT-0400,1960.215,1960.625,1959.935,1960.475,237650
13.07.2023 00:30:00.000 GMT-0400,1960.465,1962.205,1957.015,1957.185,490630
13.07.2023 01:00:00.000 GMT-0400,1957.205,1957.485,1955.205,1956.995,340960
13.07.2023 01:30:00.000 GMT-0400,1957.005,1958.295,1955.165,1955.335,382470
13.07.2023 02:00:00.000 GMT-0400,1955.325,1962.335,1955.295,1962.115,507110
13.07.2023 02:30:00.000 GMT-0400,1962.135,1962.878,1961.085,1962.725,560360
13.07.2023 03:00:00.000 GMT-0400,1962.715,1963.275,1959.655,1960.064,802160
13.07.2023 03:30:00.000 GMT-0400,1959.974,1961.805,1959.208,1961.705,593999.99
13.07.2023 04:00:00.000 GMT-0400,1961.695,1962.635,1960.255,1960.905,416845
13.07.2023 04:30:00.000 GMT-0400,1960.895,1961.795,1960.225,1960.815,343530
13.07.2023 05:00:00.000 GMT-0400,1960.825,1960.875,1959.365,1959.925,248910
13.07.2023 05:30:00.000 GMT-0400,1959.915,1960.215,1959.445,1959.905,197760
13.07.2023 06:00:00.000 GMT-0400,1959.915,1960.185,1958.115,1958.135,260720
13.07.2023 06:30:00.000 GMT-0400,1958.135,1960.525,1958.135,1960.455,289300
13.07.2023 07:00:00.000 GMT-0400,1960.455,1960.635,1958.688,1958.825,297000
13.07.2023 07:30:00.000 GMT-0400,1958.835,1960.195,1957.915,1959.738,442740
13.07.2023 08:00:00.000 GMT-0400,1959.724,1962.125,1957.935,1958.784,1095470
13.07.2023 08:30:00.000 GMT-0400,1958.815,1963.494,1952.245,1957.418,2110900.01
13.07.2023 09:00:00.000 GMT-0400,1957.425,1961.248,1957.105,1959.385,1180450.01
13.07.2023 09:30:00.000 GMT-0400,1959.435,1960.365,1956.615,1958.435,1357770
13.07.2023 10:00:00.000 GMT-0400,1958.344,1961.485,1957.465,1957.695,1094990
13.07.2023 10:30:00.000 GMT-0400,1957.695,1961.785,1957.515,1960.745,671030
13.07.2023 11:00:00.000 GMT-0400,1960.825,1961.424,1958.835,1960.975,626400
13.07.2023 11:30:00.000 GMT-0400,1960.925,1961.095,1954.625,1954.905,764610
13.07.2023 12:00:00.000 GMT-0400,1954.875,1959.315,1954.665,1959.305,581960
13.07.2023 12:30:00.000 GMT-0400,1959.315,1959.655,1957.805,1958.715,323760
13.07.2023 13:00:00.000 GMT-0400,1958.718,1959.705,1957.475,1959.285,315030
13.07.2023 13:30:00.000 GMT-0400,1959.305,1960.405,1957.625,1959.895,347980
13.07.2023 14:00:00.000 GMT-0400,1959.875,1960.705,1958.825,1959.385,375730
13.07.2023 14:30:00.000 GMT-0400,1959.395,1959.985,1958.745,1959.815,195460
13.07.2023 15:00:00.000 GMT-0400,1959.825,1960.465,1959.515,1960.195,187300
13.07.2023 15:30:00.000 GMT-0400,1960.175,1960.255,1959.465,1959.925,334630
13.07.2023 16:00:00.000 GMT-0400,1959.925,1960.615,1959.725,1960.008,119500
13.07.2023 16:30:00.000 GMT-0400,1960.008,1960.468,1959.958,1960.248,139470
13.07.2023 17:00:00.000 GMT-0400,1960.248,1960.248,1960.248,1960.248,0
13.07.2023 17:30:00.000 GMT-0400,1960.248,1960.248,1960.248,1960.248,0
13.07.2023 18:00:00.000 GMT-0400,1959.834,1960.748,1959.834,1960.245,162230
13.07.2023 18:30:00.000 GMT-0400,1960.245,1960.315,1959.728,1959.738,174240
13.07.2023 19:00:00.000 GMT-0400,1959.734,1961.668,1959.728,1960.858,429310
13.07.2023 19:30:00.000 GMT-0400,1960.835,1961.475,1959.718,1959.908,153270
13.07.2023 20:00:00.000 GMT-0400,1959.924,1960.408,1959.085,1959.325,268200
13.07.2023 20:30:00.000 GMT-0400,1959.315,1959.765,1958.248,1959.285,262140
13.07.2023 21:00:00.000 GMT-0400,1959.275,1960.735,1958.405,1960.435,360820
13.07.2023 21:30:00.000 GMT-0400,1960.405,1963.135,1960.115,1962.695,463620
13.07.2023 22:00:00.000 GMT-0400,1962.634,1963.585,1961.865,1962.555,262740
13.07.2023 22:30:00.000 GMT-0400,1962.575,1963.175,1961.395,1961.485,399710
13.07.2023 23:00:00.000 GMT-0400,1961.485,1962.685,1961.035,1962.285,182430
