Local time,Open,High,Low,Close,Volume
01.07.2020 21:00:00.000 GMT-0400,1768.458,1770.308,1766.000,1767.555,4591869.95
02.07.2020 01:00:00.000 GMT-0400,1767.555,1772.398,1764.168,1772.188,8420109.87
02.07.2020 05:00:00.000 GMT-0400,1772.188,1774.395,1760.098,1760.198,11433339.83
02.07.2020 09:00:00.000 GMT-0400,1760.198,1779.425,1757.438,1776.408,21617085.46
02.07.2020 13:00:00.000 GMT-0400,1776.408,1778.085,1774.368,1774.648,7798580.11
02.07.2020 17:00:00.000 GMT-0400,1775.258,1777.048,1772.978,1774.778,2480089.96
02.07.2020 21:00:00.000 GMT-0400,1774.778,1777.008,1772.698,1774.118,4183719.87
03.07.2020 01:00:00.000 GMT-0400,1774.098,1776.788,1772.588,1776.025,7140750.05
03.07.2020 05:00:00.000 GMT-0400,1776.025,1776.978,1773.818,1775.388,5426797.99
03.07.2020 09:00:00.000 GMT-0400,1775.388,1776.208,1773.200,1774.818,5045589.98
03.07.2020 13:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
03.07.2020 17:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
03.07.2020 21:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
04.07.2020 01:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
04.07.2020 05:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
04.07.2020 09:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
04.07.2020 13:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
04.07.2020 17:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
04.07.2020 21:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
05.07.2020 01:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
05.07.2020 05:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
05.07.2020 09:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
05.07.2020 13:00:00.000 GMT-0400,1774.818,1774.818,1774.818,1774.818,0
05.07.2020 17:00:00.000 GMT-0400,1773.368,1776.768,1773.200,1775.638,1525090.04
05.07.2020 21:00:00.000 GMT-0400,1775.638,1776.205,1769.818,1772.358,4178904.95
06.07.2020 01:00:00.000 GMT-0400,1772.368,1777.798,1772.128,1776.708,8735000.01
06.07.2020 05:00:00.000 GMT-0400,1776.678,1785.298,1774.025,1783.208,12206370
06.07.2020 09:00:00.000 GMT-0400,1783.065,1786.905,1779.028,1783.268,16573352.1
06.07.2020 13:00:00.000 GMT-0400,1783.368,1786.918,1782.825,1784.098,7457549.84
